,word,transcript,freq,corr
3697,"['о', 'к', 'у', 'т', 'а', 'н', 'н', 'ы', 'й']","['a', 'k', 'u', 't', 'a', 'n', 'y', 'j']",3,"[('о', 'a'), ('к', 'k'), ('у', 'u'), ('т', 't'), ('а', 'a'), ('н', 'n'), ('н', '-'), ('ы', 'y'), ('й', 'j')]"
3698,"['о', 'л', 'у', 'к', 'ь', 'я', 'н', 'и', 'л', 'о', 'с', 'ь']","['a', 'l', 'u', ""k'"", 'j', 'a', ""n'"", 'i', 'l', 'a', ""s'""]",6,"[('о', 'a'), ('л', 'l'), ('у', 'u'), ('к', ""k'""), ('ь', '-'), ('я', 'ja'), ('н', ""n'""), ('и', 'i'), ('л', 'l'), ('о', 'a'), ('с', ""s'""), ('ь', '-')]"
3699,"['о', 'л', 'у', 'к', 'ь', 'я', 'н', 'и', 'л', 'с', 'я']","['a', 'l', 'u', ""k'"", 'j', 'a', ""n'"", 'i', 'l', ""s'"", 'a']",3,"[('о', 'a'), ('л', 'l'), ('у', 'u'), ('к', ""k'""), ('ь', '-'), ('я', 'ja'), ('н', ""n'""), ('и', 'i'), ('л', 'l'), ('с', ""s'""), ('я', 'a')]"
3700,"['о', 'н']","['o', 'n']",2205,"[('о', 'o'), ('н', 'n')]"
3701,"['о', 'н', 'т', 'о']","['o', 'n', 't', 'a']",2,"[('о', 'o'), ('н', 'n'), ('т', 't'), ('о', 'a')]"
3702,"['о', 'н', 'е', 'г', 'и', 'н', 'а']","['a', ""n'"", 'e', ""g'"", 'i', 'n', 'a']",17,"[('о', 'a'), ('н', ""n'""), ('е', 'e'), ('г', ""g'""), ('и', 'i'), ('н', 'n'), ('а', 'a')]"
3703,"['о', 'п', 'а', 'с', 'н', 'о']","['a', 'p', 'a', 's', 'n', 'a']",16,"[('о', 'a'), ('п', 'p'), ('а', 'a'), ('с', 's'), ('н', 'n'), ('о', 'a')]"
3704,"['о', 'п', 'а', 'с', 'н', 'о', 'с', 'т', 'ь']","['a', 'p', 'a', 's', 'n', 'a', ""s'"", ""t'""]",9,"[('о', 'a'), ('п', 'p'), ('а', 'a'), ('с', 's'), ('н', 'n'), ('о', 'a'), ('с', ""s'""), ('т', ""t'""), ('ь', '-')]"
3705,"['о', 'п', 'е', 'л', 'ь']","['o', ""p'"", 'i', ""l'""]",3,"[('о', 'o'), ('п', ""p'""), ('е', 'i'), ('л', ""l'""), ('ь', '-')]"
3706,"['о', 'п', 'е', 'л', 'я']","['o', ""p'"", 'i', ""l'"", 'a']",2,"[('о', 'o'), ('п', ""p'""), ('е', 'i'), ('л', ""l'""), ('я', 'a')]"
3707,"['о', 'п', 'е', 'р']","['o', ""p'"", 'i', 'r']",3,"[('о', 'o'), ('п', ""p'""), ('е', 'i'), ('р', 'r')]"
3708,"['о', 'п', 'е', 'р', 'а', 'ц', 'и', 'ю']","['a', ""p'"", 'i', 'r', 'a', 'c', 'y', 'j', 'u']",6,"[('о', 'a'), ('п', ""p'""), ('е', 'i'), ('р', 'r'), ('а', 'a'), ('ц', 'c'), ('и', 'y'), ('ю', 'ju')]"
3709,"['о', 'п', 'е', 'р', 'ш', 'и', 'с', 'ь']","['a', ""p'"", 'i', 'r', 'sh', 'y', ""s'""]",3,"[('о', 'a'), ('п', ""p'""), ('е', 'i'), ('р', 'r'), ('ш', 'sh'), ('и', 'y'), ('с', ""s'""), ('ь', '-')]"
3710,"['о', 'п', 'е', 'р', 'ы']","['o', ""p'"", 'i', 'r', 'y']",19,"[('о', 'o'), ('п', ""p'""), ('е', 'i'), ('р', 'r'), ('ы', 'y')]"
3711,"['о', 'п', 'о', 'в', 'е', 'щ', 'а', 'л', 'и']","['a', 'p', 'a', ""v'"", 'i', 'sc', 'a', ""l'"", 'i']",3,"[('о', 'a'), ('п', 'p'), ('о', 'a'), ('в', ""v'""), ('е', 'i'), ('щ', 'sc'), ('а', 'a'), ('л', ""l'""), ('и', 'i')]"
3712,"['о', 'п', 'о', 'з', 'д', 'а', 'е', 'м']","['a', 'p', 'a', 'z', 'd', 'a', 'j', 'i', 'm']",8,"[('о', 'a'), ('п', 'p'), ('о', 'a'), ('з', 'z'), ('д', 'd'), ('а', 'a'), ('е', 'ji'), ('м', 'm')]"
3713,"['о', 'п', 'о', 'з', 'д', 'а', 'е', 'т']","['a', 'p', 'a', 'z', 'd', 'a', 'j', 'i', 't']",3,"[('о', 'a'), ('п', 'p'), ('о', 'a'), ('з', 'z'), ('д', 'd'), ('а', 'a'), ('е', 'ji'), ('т', 't')]"
3714,"['о', 'п', 'р', 'а', 'в', 'д', 'а', 'н', 'и', 'е']","['a', 'p', 'r', 'a', 'v', 'd', 'a', ""n'"", 'i', 'i']",11,"[('о', 'a'), ('п', 'p'), ('р', 'r'), ('а', 'a'), ('в', 'v'), ('д', 'd'), ('а', 'a'), ('н', ""n'""), ('и', 'i'), ('е', 'i')]"
3715,"['о', 'п', 'р', 'е', 'д', 'е', 'л', 'е', 'н', 'н', 'о', 'е']","['a', 'p', ""r'"", 'i', ""d'"", 'i', ""l'"", 'o', 'n', 'a', 'j', 'i']",3,"[('о', 'a'), ('п', 'p'), ('р', ""r'""), ('е', 'i'), ('д', ""d'""), ('е', 'i'), ('л', ""l'""), ('е', 'o'), ('н', 'n'), ('н', '-'), ('о', 'a'), ('е', 'ji')]"
3716,"['о', 'п', 'р', 'е', 'д', 'е', 'л', 'и', 'т', 'ь']","['a', 'p', ""r'"", 'i', ""d'"", 'i', ""l'"", 'i', ""t'""]",15,"[('о', 'a'), ('п', 'p'), ('р', ""r'""), ('е', 'i'), ('д', ""d'""), ('е', 'i'), ('л', ""l'""), ('и', 'i'), ('т', ""t'""), ('ь', '-')]"
3717,"['о', 'п', 'р', 'о', 'к', 'и', 'н', 'у', 'л']","['a', 'p', 'r', 'a', ""k'"", 'i', 'n', 'u', 'l']",3,"[('о', 'a'), ('п', 'p'), ('р', 'r'), ('о', 'a'), ('к', ""k'""), ('и', 'i'), ('н', 'n'), ('у', 'u'), ('л', 'l')]"
3718,"['о', 'п', 'р', 'о', 'м', 'е', 'т', 'ь', 'ю']","['o', 'p', 'r', 'a', ""m'"", 'i', ""t'"", 'j', 'u']",3,"[('о', 'o'), ('п', 'p'), ('р', 'r'), ('о', 'a'), ('м', ""m'""), ('е', 'i'), ('т', ""t'""), ('ь', '-'), ('ю', 'ju')]"
3719,"['о', 'п', 'т', 'и', 'м', 'и', 'з', 'м', 'а']","['a', 'p', ""t'"", 'i', ""m'"", 'i', 'z', 'm', 'a']",8,"[('о', 'a'), ('п', 'p'), ('т', ""t'""), ('и', 'i'), ('м', ""m'""), ('и', 'i'), ('з', 'z'), ('м', 'm'), ('а', 'a')]"
3720,"['о', 'п', 'т', 'и', 'м', 'и', 'з', 'м', 'о', 'м']","['a', 'p', ""t'"", 'i', ""m'"", 'i', 'z', 'm', 'a', 'm']",8,"[('о', 'a'), ('п', 'p'), ('т', ""t'""), ('и', 'i'), ('м', ""m'""), ('и', 'i'), ('з', 'z'), ('м', 'm'), ('о', 'a'), ('м', 'm')]"
3721,"['о', 'п', 'у', 'с', 'т', 'и', 'в']","['a', 'p', 'u', ""s'"", ""t'"", 'i', 'f']",8,"[('о', 'a'), ('п', 'p'), ('у', 'u'), ('с', ""s'""), ('т', ""t'""), ('и', 'i'), ('в', 'f')]"
3722,"['о', 'п', 'ы', 'т', 'н', 'е', 'й', 'ш', 'и', 'й']","['o', 'p', 'y', ""t'"", ""n'"", 'i', 'j', 'sh', 'y', 'j']",8,"[('о', 'o'), ('п', 'p'), ('ы', 'y'), ('т', ""t'""), ('н', ""n'""), ('е', 'i'), ('й', 'j'), ('ш', 'sh'), ('и', 'y'), ('й', 'j')]"
3723,"['о', 'п', 'ы', 'т', 'о', 'м']","['o', 'p', 'y', 't', 'a', 'm']",6,"[('о', 'o'), ('п', 'p'), ('ы', 'y'), ('т', 't'), ('о', 'a'), ('м', 'm')]"
3724,"['о', 'п', 'я', 'т', 'ь']","['a', ""p'"", 'a', ""t'""]",66,"[('о', 'a'), ('п', ""p'""), ('я', 'a'), ('т', ""t'""), ('ь', '-')]"
3725,"['о', 'р', 'а', 'в', 'ы']","['a', 'r', 'a', 'v', 'y']",3,"[('о', 'a'), ('р', 'r'), ('а', 'a'), ('в', 'v'), ('ы', 'y')]"
3726,"['о', 'р', 'а', 'л']","['a', 'r', 'a', 'l']",3,"[('о', 'a'), ('р', 'r'), ('а', 'a'), ('л', 'l')]"
3727,"['о', 'р', 'а', 'т', 'ь']","['a', 'r', 'a', ""t'""]",8,"[('о', 'a'), ('р', 'r'), ('а', 'a'), ('т', ""t'""), ('ь', '-')]"
3728,"['о', 'р', 'г', 'а', 'н', 'и', 'з', 'о', 'в', 'а', 'т', 'ь']","['a', 'r', 'g', 'a', ""n'"", 'i', 'z', 'a', 'v', 'a', ""t'""]",5,"[('о', 'a'), ('р', 'r'), ('г', 'g'), ('а', 'a'), ('н', ""n'""), ('и', 'i'), ('з', 'z'), ('о', 'a'), ('в', 'v'), ('а', 'a'), ('т', ""t'""), ('ь', '-')]"
3729,"['о', 'р', 'д', 'е', 'р']","['o', 'r', ""d'"", 'i', 'r']",8,"[('о', 'o'), ('р', 'r'), ('д', ""d'""), ('е', 'i'), ('р', 'r')]"
3730,"['о', 'р', 'у', 'ж', 'и', 'е']","['a', 'r', 'u', 'zh', 'y', 'i']",10,"[('о', 'a'), ('р', 'r'), ('у', 'u'), ('ж', 'zh'), ('и', 'y'), ('е', 'i')]"
3731,"['о', 'р', 'у', 'ж', 'и', 'я']","['a', 'r', 'u', 'zh', 'y', 'j', 'a']",5,"[('о', 'a'), ('р', 'r'), ('у', 'u'), ('ж', 'zh'), ('и', 'y'), ('я', 'ja')]"
3732,"['о', 'с', 'в', 'о', 'б', 'о', 'д', 'и', 'л']","['a', 's', 'v', 'a', 'b', 'a', ""d'"", 'i', 'l']",8,"[('о', 'a'), ('с', 's'), ('в', 'v'), ('о', 'a'), ('б', 'b'), ('о', 'a'), ('д', ""d'""), ('и', 'i'), ('л', 'l')]"
3733,"['о', 'с', 'е', 'н', 'и', 'л', 'о']","['a', ""s'"", 'i', ""n'"", 'i', 'l', 'a']",8,"[('о', 'a'), ('с', ""s'""), ('е', 'i'), ('н', ""n'""), ('и', 'i'), ('л', 'l'), ('о', 'a')]"
3734,"['о', 'с', 'е', 'н', 'н', 'и', 'й']","['a', ""s'"", 'e', ""n'"", ""n'"", 'i', 'j']",8,"[('о', 'a'), ('с', ""s'""), ('е', 'e'), ('н', ""n'""), ('н', ""n'""), ('и', 'i'), ('й', 'j')]"
3735,"['о', 'с', 'е', 'н', 'н', 'я', 'я']","['a', ""s'"", 'e', ""n'"", ""n'"", 'i', 'j', 'a']",3,"[('о', 'a'), ('с', ""s'""), ('е', 'e'), ('н', ""n'""), ('н', ""n'""), ('я', 'i'), ('я', 'ja')]"
3736,"['о', 'с', 'е', 'н', 'ь', 'ю']","['o', ""s'"", 'i', ""n'"", 'j', 'u']",3,"[('о', 'o'), ('с', ""s'""), ('е', 'i'), ('н', ""n'""), ('ь', '-'), ('ю', 'ju')]"
3737,"['о', 'с', 'е', 'н', 'я', 'е', 'т']","['a', ""s'"", 'i', ""n'"", 'a', 'i', 't']",8,"[('о', 'a'), ('с', ""s'""), ('е', 'i'), ('н', ""n'""), ('я', 'a'), ('е', 'i'), ('т', 't')]"
3738,"['о', 'с', 'к', 'о', 'р', 'б', 'л', 'е', 'н', 'и', 'й']","['a', 's', 'k', 'a', 'r', 'b', ""l'"", 'e', ""n'"", 'i', 'j']",3,"[('о', 'a'), ('с', 's'), ('к', 'k'), ('о', 'a'), ('р', 'r'), ('б', 'b'), ('л', ""l'""), ('е', 'e'), ('н', ""n'""), ('и', 'i'), ('й', 'j')]"
3739,"['о', 'с', 'к', 'о', 'р', 'б', 'л', 'е', 'н', 'и', 'я', 'м', 'и']","['a', 's', 'k', 'a', 'r', 'b', ""l'"", 'e', ""n'"", 'i', 'i', ""m'"", 'i']",8,"[('о', 'a'), ('с', 's'), ('к', 'k'), ('о', 'a'), ('р', 'r'), ('б', 'b'), ('л', ""l'""), ('е', 'e'), ('н', ""n'""), ('и', 'i'), ('я', 'i'), ('м', ""m'""), ('и', 'i')]"
3740,"['о', 'с', 'л', 'а', 'б', 'л', 'е', 'н', 'и', 'е', 'м']","['a', 's', 'l', 'a', 'b', ""l'"", 'e', ""n'"", 'i', 'j', 'i', 'm']",3,"[('о', 'a'), ('с', 's'), ('л', 'l'), ('а', 'a'), ('б', 'b'), ('л', ""l'""), ('е', 'e'), ('н', ""n'""), ('и', 'i'), ('е', 'ji'), ('м', 'm')]"
3741,"['о', 'с', 'л', 'а', 'б', 'н', 'е', 'т']","['a', 's', 'l', 'a', 'b', ""n'"", 'i', 't']",2,"[('о', 'a'), ('с', 's'), ('л', 'l'), ('а', 'a'), ('б', 'b'), ('н', ""n'""), ('е', 'i'), ('т', 't')]"
3742,"['о', 'с', 'н', 'о', 'в', 'а', 'н', 'и', 'й']","['a', 's', 'n', 'a', 'v', 'a', ""n'"", 'i', 'j']",1,"[('о', 'a'), ('с', 's'), ('н', 'n'), ('о', 'a'), ('в', 'v'), ('а', 'a'), ('н', ""n'""), ('и', 'i'), ('й', 'j')]"
3743,"['о', 'с', 'о', 'б', 'е', 'н', 'н', 'о']","['a', 's', 'o', ""b'"", 'i', 'n', 'a']",103,"[('о', 'a'), ('с', 's'), ('о', 'o'), ('б', ""b'""), ('е', 'i'), ('н', 'n'), ('н', '-'), ('о', 'a')]"
3744,"['о', 'с', 'о', 'б', 'е', 'н', 'н', 'о', 'г', 'о']","['a', 's', 'o', ""b'"", 'i', 'n', 'a', 'v', 'a']",17,"[('о', 'a'), ('с', 's'), ('о', 'o'), ('б', ""b'""), ('е', 'i'), ('н', 'n'), ('н', '-'), ('о', 'a'), ('г', 'v'), ('о', 'a')]"
3745,"['о', 'с', 'о', 'б', 'е', 'н', 'н', 'о', 'е']","['a', 's', 'o', ""b'"", 'i', 'n', 'a', 'j', 'i']",3,"[('о', 'a'), ('с', 's'), ('о', 'o'), ('б', ""b'""), ('е', 'i'), ('н', 'n'), ('н', '-'), ('о', 'a'), ('е', 'ji')]"
3746,"['о', 'с', 'о', 'б', 'е', 'н', 'н', 'о', 'м', 'у']","['a', 's', 'o', ""b'"", 'i', 'n', 'a', 'm', 'u']",8,"[('о', 'a'), ('с', 's'), ('о', 'o'), ('б', ""b'""), ('е', 'i'), ('н', 'n'), ('н', '-'), ('о', 'a'), ('м', 'm'), ('у', 'u')]"
3747,"['о', 'с', 'о', 'б', 'о', 'м', 'у']","['a', 's', 'o', 'b', 'a', 'm', 'u']",7,"[('о', 'a'), ('с', 's'), ('о', 'o'), ('б', 'b'), ('о', 'a'), ('м', 'm'), ('у', 'u')]"
3748,"['о', 'с', 'о', 'б', 'у', 'ю']","['a', 's', 'o', 'b', 'u', 'j', 'u']",10,"[('о', 'a'), ('с', 's'), ('о', 'o'), ('б', 'b'), ('у', 'u'), ('ю', 'ju')]"
3749,"['о', 'с', 'о', 'б', 'ы', 'й']","['a', 's', 'o', 'b', 'y', 'j']",10,"[('о', 'a'), ('с', 's'), ('о', 'o'), ('б', 'b'), ('ы', 'y'), ('й', 'j')]"
3750,"['о', 'с', 'о', 'з', 'н', 'а', 'в', 'а', 'т', 'ь']","['a', 's', 'a', 'z', 'n', 'a', 'v', 'a', ""t'""]",1,"[('о', 'a'), ('с', 's'), ('о', 'a'), ('з', 'z'), ('н', 'n'), ('а', 'a'), ('в', 'v'), ('а', 'a'), ('т', ""t'""), ('ь', '-')]"
3751,"['о', 'с', 'о', 'з', 'н', 'а', 'л']","['a', 's', 'a', 'z', 'n', 'a', 'l']",8,"[('о', 'a'), ('с', 's'), ('о', 'a'), ('з', 'z'), ('н', 'n'), ('а', 'a'), ('л', 'l')]"
3752,"['о', 'с', 'т', 'а', 'в', 'а', 'л', 'и', 'с', 'ь']","['a', 's', 't', 'a', 'v', 'a', ""l'"", 'i', ""s'""]",8,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('в', 'v'), ('а', 'a'), ('л', ""l'""), ('и', 'i'), ('с', ""s'""), ('ь', '-')]"
3753,"['о', 'с', 'т', 'а', 'в', 'а', 'л', 'с', 'я']","['a', 's', 't', 'a', 'v', 'a', 'l', ""s'"", 'a']",3,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('в', 'v'), ('а', 'a'), ('л', 'l'), ('с', ""s'""), ('я', 'a')]"
3754,"['о', 'с', 'т', 'а', 'в', 'и', 'л']","['a', 's', 't', 'a', ""v'"", 'i', 'l']",9,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('в', ""v'""), ('и', 'i'), ('л', 'l')]"
3755,"['о', 'с', 'т', 'а', 'в', 'и', 'т', 'ь']","['a', 's', 't', 'a', ""v'"", 'i', ""t'""]",9,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('в', ""v'""), ('и', 'i'), ('т', ""t'""), ('ь', '-')]"
3756,"['о', 'с', 'т', 'а', 'в', 'и', 'ш', 'ь']","['a', 's', 't', 'a', ""v'"", 'i', 'sh']",3,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('в', ""v'""), ('и', 'i'), ('ш', 'sh'), ('ь', '-')]"
3757,"['о', 'с', 'т', 'а', 'в', 'л', 'я', 'е', 'м']","['a', 's', 't', 'a', 'v', ""l'"", 'a', 'j', 'i', 'm']",3,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('в', 'v'), ('л', ""l'""), ('я', 'a'), ('е', 'ji'), ('м', 'm')]"
3758,"['о', 'с', 'т', 'а', 'в', 'л', 'я', 'е', 'т']","['a', 's', 't', 'a', 'v', ""l'"", 'a', 'i', 't']",8,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('в', 'v'), ('л', ""l'""), ('я', 'a'), ('е', 'i'), ('т', 't')]"
3759,"['о', 'с', 'т', 'а', 'в', 'л', 'я', 'е', 'ш', 'ь']","['a', 's', 't', 'a', 'v', ""l'"", 'a', 'i', 'sh']",8,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('в', 'v'), ('л', ""l'""), ('я', 'a'), ('е', 'i'), ('ш', 'sh'), ('ь', '-')]"
3760,"['о', 'с', 'т', 'а', 'ё', 'т', 'с', 'я']","['a', 's', 't', 'a', 'j', 'o', 'c', 'a']",5,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('ё', 'jo'), ('т', '-'), ('с', 'c'), ('я', 'a')]"
3761,"['о', 'с', 'т', 'а', 'л', 'а', 'с', 'ь']","['a', 's', 't', 'a', 'l', 'a', ""s'""]",14,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('л', 'l'), ('а', 'a'), ('с', ""s'""), ('ь', '-')]"
3762,"['о', 'с', 'т', 'а', 'л', 'и', 'с', 'ь']","['a', 's', 't', 'a', ""l'"", 'i', ""s'""]",9,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('л', ""l'""), ('и', 'i'), ('с', ""s'""), ('ь', '-')]"
3763,"['о', 'с', 'т', 'а', 'л', 'о', 'с', 'ь']","['a', 's', 't', 'a', 'l', 'a', ""s'""]",28,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('л', 'l'), ('о', 'a'), ('с', ""s'""), ('ь', '-')]"
3764,"['о', 'с', 'т', 'а', 'л', 'с', 'я']","['a', 's', 't', 'a', 'l', ""s'"", 'a']",14,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('л', 'l'), ('с', ""s'""), ('я', 'a')]"
3765,"['о', 'с', 'т', 'а', 'л', 'ь', 'н', 'о', 'е']","['a', 's', 't', 'a', ""l'"", 'n', 'o', 'j', 'i']",3,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('л', ""l'""), ('ь', '-'), ('н', 'n'), ('о', 'o'), ('е', 'ji')]"
3766,"['о', 'с', 'т', 'а', 'л', 'ь', 'н', 'о', 'м']","['a', 's', 't', 'a', ""l'"", 'n', 'o', 'm']",8,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('л', ""l'""), ('ь', '-'), ('н', 'n'), ('о', 'o'), ('м', 'm')]"
3767,"['о', 'с', 'т', 'а', 'н', 'а', 'в', 'л', 'и', 'в', 'а', 'л', 'а', 'с', 'ь']","['a', 's', 't', 'a', 'n', 'a', 'v', ""l'"", 'i', 'v', 'a', 'l', 'a', ""s'""]",3,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('н', 'n'), ('а', 'a'), ('в', 'v'), ('л', ""l'""), ('и', 'i'), ('в', 'v'), ('а', 'a'), ('л', 'l'), ('а', 'a'), ('с', ""s'""), ('ь', '-')]"
3768,"['о', 'с', 'т', 'а', 'н', 'е', 'ш', 'ь', 'с', 'я']","['a', 's', 't', 'a', ""n'"", 'i', 'sh', ""s'"", 'a']",3,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('н', ""n'""), ('е', 'i'), ('ш', 'sh'), ('ь', '-'), ('с', ""s'""), ('я', 'a')]"
3769,"['о', 'с', 'т', 'а', 'н', 'о', 'в', 'и', 'л']","['a', 's', 't', 'a', 'n', 'a', ""v'"", 'i', 'l']",6,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('н', 'n'), ('о', 'a'), ('в', ""v'""), ('и', 'i'), ('л', 'l')]"
3770,"['о', 'с', 'т', 'а', 'н', 'о', 'в', 'и', 'л', 'о', 'с', 'ь']","['a', 's', 't', 'a', 'n', 'a', ""v'"", 'i', 'l', 'a', ""s'""]",6,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('н', 'n'), ('о', 'a'), ('в', ""v'""), ('и', 'i'), ('л', 'l'), ('о', 'a'), ('с', ""s'""), ('ь', '-')]"
3771,"['о', 'с', 'т', 'а', 'н', 'о', 'в', 'и', 'л', 'с', 'я']","['a', 's', 't', 'a', 'n', 'a', ""v'"", 'i', 'l', ""s'"", 'a']",6,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('н', 'n'), ('о', 'a'), ('в', ""v'""), ('и', 'i'), ('л', 'l'), ('с', ""s'""), ('я', 'a')]"
3772,"['о', 'с', 'т', 'а', 'н', 'о', 'в', 'и', 'т', 'с', 'я']","['a', 's', 't', 'a', 'n', 'o', ""v'"", 'i', 'c', 'a']",15,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('н', 'n'), ('о', 'o'), ('в', ""v'""), ('и', 'i'), ('т', '-'), ('с', 'c'), ('я', 'a')]"
3773,"['о', 'с', 'т', 'а', 'н', 'о', 'в', 'к', 'а']","['a', 's', 't', 'a', 'n', 'o', 'f', 'k', 'a']",6,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('н', 'n'), ('о', 'o'), ('в', 'f'), ('к', 'k'), ('а', 'a')]"
3774,"['о', 'с', 'т', 'а', 'н', 'о', 'в', 'к', 'е']","['a', 's', 't', 'a', 'n', 'o', 'f', ""k'"", 'i']",16,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('н', 'n'), ('о', 'o'), ('в', 'f'), ('к', ""k'""), ('е', 'i')]"
3775,"['о', 'с', 'т', 'а', 'н', 'о', 'в', 'к', 'у']","['a', 's', 't', 'a', 'n', 'o', 'f', 'k', 'u']",11,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('н', 'n'), ('о', 'o'), ('в', 'f'), ('к', 'k'), ('у', 'u')]"
3776,"['о', 'с', 'т', 'а', 'н', 'о', 'в', 'л', 'ю', 'с', 'ь']","['a', 's', 't', 'a', 'n', 'a', 'v', ""l'"", 'u', ""s'""]",8,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('н', 'n'), ('о', 'a'), ('в', 'v'), ('л', ""l'""), ('ю', 'u'), ('с', ""s'""), ('ь', '-')]"
3777,"['о', 'с', 'т', 'а', 'н', 'у', 'с', 'ь']","['a', 's', 't', 'a', 'n', 'u', ""s'""]",3,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('н', 'n'), ('у', 'u'), ('с', ""s'""), ('ь', '-')]"
3778,"['о', 'с', 'т', 'а', 'т', 'ь', 'с', 'я']","['a', 's', 't', 'a', 'c', 'a']",16,"[('о', 'a'), ('с', 's'), ('т', 't'), ('а', 'a'), ('т', '-'), ('ь', '-'), ('с', 'c'), ('я', 'a')]"
3779,"['о', 'с', 'т', 'о', 'р', 'о', 'ж', 'н', 'о']","['a', 's', 't', 'a', 'r', 'o', 'zh', 'n', 'a']",3,"[('о', 'a'), ('с', 's'), ('т', 't'), ('о', 'a'), ('р', 'r'), ('о', 'o'), ('ж', 'zh'), ('н', 'n'), ('о', 'a')]"
3780,"['о', 'с', 'т', 'о', 'р', 'о', 'ж', 'н', 'о', 'с', 'т', 'ь', 'ю']","['a', 's', 't', 'a', 'r', 'o', 'zh', 'n', 'a', ""s'"", ""t'"", 'j', 'u']",8,"[('о', 'a'), ('с', 's'), ('т', 't'), ('о', 'a'), ('р', 'r'), ('о', 'o'), ('ж', 'zh'), ('н', 'n'), ('о', 'a'), ('с', ""s'""), ('т', ""t'""), ('ь', '-'), ('ю', 'ju')]"
3781,"['о', 'с', 'т', 'р', 'е', 'й', 'ш', 'и', 'м']","['a', 's', 't', ""r'"", 'e', 'j', 'sh', 'y', 'm']",8,"[('о', 'a'), ('с', 's'), ('т', 't'), ('р', ""r'""), ('е', 'e'), ('й', 'j'), ('ш', 'sh'), ('и', 'y'), ('м', 'm')]"
3782,"['о', 'с', 'т', 'р', 'о']","['o', 's', 't', 'r', 'a']",3,"[('о', 'o'), ('с', 's'), ('т', 't'), ('р', 'r'), ('о', 'a')]"
3783,"['о', 'с', 'т', 'р', 'ы', 'е']","['o', 's', 't', 'r', 'y', 'j', 'i']",3,"[('о', 'o'), ('с', 's'), ('т', 't'), ('р', 'r'), ('ы', 'y'), ('е', 'ji')]"
3784,"['о', 'с', 'т', 'ы', 'в', 'а', 'ю', 'щ', 'и', 'й']","['a', 's', 't', 'y', 'v', 'a', 'j', 'u', 'sc', 'i', 'j']",3,"[('о', 'a'), ('с', 's'), ('т', 't'), ('ы', 'y'), ('в', 'v'), ('а', 'a'), ('ю', 'ju'), ('щ', 'sc'), ('и', 'i'), ('й', 'j')]"
3785,"['о', 'с', 'у', 'ш', 'и', 'л']","['a', 's', 'u', 'sh', 'y', 'l']",3,"[('о', 'a'), ('с', 's'), ('у', 'u'), ('ш', 'sh'), ('и', 'y'), ('л', 'l')]"
3786,"['о', 'т']","['o', 't']",3,"[('о', 'o'), ('т', 't')]"
3787,"['о', 'т', 'б', 'и', 'в', 'а', 'л', 'а', 'с', 'ь']","['a', 'd', ""b'"", 'i', 'v', 'a', 'l', 'a', ""s'""]",3,"[('о', 'a'), ('т', 'd'), ('б', ""b'""), ('и', 'i'), ('в', 'v'), ('а', 'a'), ('л', 'l'), ('а', 'a'), ('с', ""s'""), ('ь', '-')]"
3788,"['о', 'т', 'б', 'и', 'р', 'а', 'т', 'ь']","['a', 'd', ""b'"", 'i', 'r', 'a', ""t'""]",16,"[('о', 'a'), ('т', 'd'), ('б', ""b'""), ('и', 'i'), ('р', 'r'), ('а', 'a'), ('т', ""t'""), ('ь', '-')]"
