Слово,Слово с делением на морфемы,Орфоэпическая транскрипция,Реальное произнесение,Количество словоупотреблений,Файлы
порядку,~по*ряд+к/у,~ p a1 * r' a0 t + k / u4,~ p a1 * r' a0 t + k / u4,11,"ctb0405,ctb1774,gtb0405,ktb1774,ktb0405,otb0405,stb0405,utb0405,atb0405,atb1774"
порядочного,~по*ряд+оч+н/ого,~ p a1 * r' a0 d + a4 sh + n / a4 v a4,~ p a1 * r' a0 d + y4 ch + n / o4 v a4,8,kta0310
посадка,~по*сад+к/а,~ p a1 * s a0 t + k / a4,~ p a1 * s a0 t + k / e4,3,ata0656
посаженные,~по*саж+енн/ые,~ p a1 * s a0 zh + y4 n / y4 j i4,~ p a1 * s a0 zh + y4 n / y4 i4,3,"cta0853,ata0853"
посвящать,~по*свящ+а/ть,~ p a2 * s v' i1 sc + a0 / t',~ p y1 * s v' i1 sc + a0 / t',3,ata0528
поселившись,~по*сел+и+вши^сь,~ p a2 * s' i1 l' + i0 + f sh y4 ^ s',~ p y1 * s' i1 l' + i0 + f sh y4 ^ s',3,"cta0935,kta0935,ata0935"
поселились,~по*сел+и+л/и^сь,~ p a2 * s' i1 l' + i0 + l' / i4 ^ s',~ p a2 * s' i1 l' + i0 + l' / i4 ^ s',3,cta0918
поселка,~по*сел+к/а,~ p a1 * s' o0 l + k / a4,~ p a1 * s' o0 l + k / a4,3,kta0776
поселке,~по*сел+к/е,~ p a1 * s' o0 l + k' / i4,~ p a1 * s' o0 l + k' / i4,12,"cta0734,cta0852,cta0853,cta0854,kta0734,kta0852,kta0853,kta0854,ata0734,ata0852,ata0853,ata0854"
поселок,~по*сел+ок,~ p a1 * s' o0 l + a4 k,~ p a1 * s' o0 l + a4 k,6,"kta0849,kta0858,ata0858"
посидел,~по*сид+е+л,~ p a2 * s' i1 d' + e0 + l,~ p a2 * s' i1 d' + e0 + l,8,"ata0481,mta0481"
посильнее,~по*силь+н+ее,~ p a2 * s' i1 l' + n' + e0 j i4,~ p a2 * s' i1 l' + n' + e0 i4,3,ctb1178
поскольку,~по*скольк+у,~ p a1 * s k o0 l' k + u4,~ p a1 * s k o0 l' k + u4,9,"ctb0959,ktb0959,otd0076,otd0197,otd0204,atd0076,atd0197,atd0204,atb0959"
послал,~по*сл+а+л,~ p a1 * s l + a0 + l,~ p a1 * s l + a0 + l,6,"ctb1763,ctc0174,ktb1763,ktc0174,utc0174,atb1763"
после,*после,* p o0 s l' i4,* b o0 s l' i4,164,uta0216
последнего,~по*след+н/его,~ p a1 * s l' e0 d' + n' / i4 v a4,~ p a1 * s l' e0 d + n' / e4 v a4,3,kta1106
последнее,~по*след+н/ее,~ p a1 * s l' e0 d' + n' / i4 j i4,~ p a1 * s l' e0 d + n' / e4 e4,26,kta1072
последней,~по*след+н/ей,~ p a1 * s l' e0 d' + n' / i4 j,~ p a1 * s l' e0 d + n' / i4,11,"cta0241,gta0241,kta0730,kta0241,ota0241,mta0241"
последнем,~по*след+н/ем,~ p a1 * s l' e0 d' + n' / i4 m,~ p a1 * s l' e0 d + n' / i4 m,3,"ktb1705,atb1705"
последние,~по*след+н/ие,~ p a1 * s l' e0 d' + n' / i4 - i4,~ p a1 * s l' e0 d + n' / i4 i4,49,mta0257
последний,~по*след+н/ий,~ p a1 * s l' e0 d' + n' / i4 j,~ p a1 * s l' e0 d + n' / e4,27,kta0685
последнюю,~по*след+н/юю,~ p a1 * s l' e0 d + n' / u4 j u4,~ p a1 * s l' e0 d + n' / u4 u4,1,cta1147
последняя,~по*след+н/яя,~ p a1 * s l' e0 d' + n' / i4 - i4,~ p a1 * s l' e0 d + n' / a4,10,gta0333
последовательности,~по*след+ова+тельн+ост/и,~ p a1 * s l' e0 d + a4 v a4 + t' i4 l' n + a4 s' t' / i4,~ p a1 * s l' e0 d + a4 v a4 + t' i4 l' n + a4 s' t' / i4,3,atb1964
последствия,~по*след+ств/ия,~ p a1 * s l' e0 + c t v' / i4 j a4,~ p a1 * s l' e0 + c t v' / e4 j o4,10,atb0061
последующих,~по*след+у+ющ/их,~ p a1 * s l' e0 d + u4 + j u4 sc / i4 h,~ p a1 * s l' e0 d + u4 + u4 sc / i4 h,3,"cta0770,kta0770,ata0770"
послезавтра,*посл=е*завтр+а,* p a2 s l' = i1 * z a0 f t r + a4,* p o1 s l' = i1 * s a0 f t r + y4,10,otd0073
пословицы,~по*слов+иц/ы,~ p a1 * s l o0 v' + i4 c / y4,~ p a1 * s l o0 v' + e4 c / y4,8,atb0037
послом,*посл/ом,* p a1 s l / o0 m,* p a1 s l / o0 m,3,"cta0988,kta0988,ata0988"
посмеивались,~по*сме+ива+л/и^сь,~ p a1 * s m' e0 + i4 v a4 + l' / i4 ^ s',~ p a1 * s m' e0 + i4 v y4 + l' / i4 ^ s',3,"cta0899,kta0899,ata0899"
посмела,~по*сме+л/а,~ p a1 * s m' e0 + l / a4,~ p a1 * s m' e0 + l / a4,3,"cta0822,kta0822"
посмотрев,~по*смотр+е+в,~ p a2 * s m a1 t r' + e0 + f,~ p a2 * s m a1 t r' + e0 + f,8,mta0120
посмотрел,~по*смотр+е+л,~ p a2 * s m a1 t r' + e0 + l,~ p a2 * s m a1 t r' + e0 + l,19,"gtb0216,stb0216,stb0234,mtb0216"
посмотрела,~по*смотр+е+л/а,~ p a2 * s m a1 t r' + e0 + l / a4,~ p * s m a1 t r' + e0 + l /,16,stb0630
посмотрели,~по*смотр+е+л/и,~ p a2 * s m a1 t r' + e0 + l' / i4,~ b y1 * s m a1 t r' + e0 + l' / i4,8,utb0274
посмотреть,~по*смотр+е/ть,~ p a2 * s m a1 t r' + e0 / t',~ p * s m a1 t r' + e0 / t',24,gta0037
посоветоваться,~по~со*вет+ов+а/ть^ся,~ p a2 ~ s a1 * v' e0 t + a4 v + a4 / ^ c a4,~ p a2 ~ s a1 * v' e0 t + a4 v + a4 / ^ c a4,19,stb0194
поспевал,~по*спе+в+а+л,~ p a2 * s p' i1 + v + a0 + l,~ p o1 * s p' i1 + v + a0 + l,3,atb2033
поспешно,~по*спеш+н+о,~ p a1 * s p' e0 sh + n + a4,~ p a1 * s p' e0 sh + n +,11,mta0219
поспешностью,~по*спеш+н+ость/ю,~ p a1 * s p' e0 sh + n + a4 s' t' / j u4,~ p a1 * s p' e0 sh + n + a4 s' t' / j u4,3,ata0727
поспешным,~по*спеш+н/ым,~ p a1 * s p' e0 sh + n / y4 m,~ p a1 * s p' e0 sh + n / y4 m,1,cta1122
посредственный,~по*сред+ств+енн/ый,~ p a1 * s r' e0 + c t v' + i4 n / y4 j,~ p a1 * s r' e0 + c t v' + e4 n / y4,3,ata0736
поставил,~по*став/и/л,~ p a1 * s t a0 v' / i4 / l,~ p a1 * s t a0 v' / e4 / l,12,ata0874
поставила,~по*став+и+л/а,~ p a1 * s t a0 v' + i4 + l / a4,~ p a1 * s t a0 v' + + l / o4,11,gtb0798
поставь,~по*ставь,~ p a1 * s t a0 f',~ p a1 * s t a0 f',7,"cta0248,ota0248,sta0248,uta0248,ata0248,mta0248"
постарается,~по*стар+а/ет^ся,~ p a2 * s t a1 r + a0 / j i4 ^ c a4,~ p a2 * s t a1 r + a0 / e4 ^ c e4,3,atb1227
постарайся,~по*стар+ай^ся,~ p a2 * s t a1 r + a0 j ^ s' a4,~ p y1 * s t a1 r + a0 e4 ^ s' i4,6,ktb1757
постараюсь,~по*стар+а/ю^сь,~ p a2 * s t a1 r + a0 / j u4 ^ s',~ p a2 * s t a1 r + a0 / u4 ^ s',3,ctb1551
постели,*постел/и,* p a1 s' t' e0 l' / i4,* p a1 s t' e0 l' / e4,17,mtb0519
постель,~по*стель,~ p a1 * s' t' e0 l',~ p a1 * s t' e0 l',27,mta0071
постепенно,~по*степ+енн+о,~ p a2 * s' t' i1 p' + e0 n n + a4,~ p y1 * s' t' i1 p' + e0 n n + a4,14,cta0398
постой,~по*сто+й,~ p a1 * s t o0 + j,~ p a1 * s t o0 + i4,6,"cta0659,cta0682,kta0659,kta0682"
постороннего,~по*сторон+н/его,~ p a2 * s t a1 r o0 n' / n' i4 v a4,~ p a2 * s t a1 r o0 n' / i4 v a4,1,cta1156
постоял,~по*сто+я+л,~ p a2 * s t a1 + j a0 + l,~ p a2 * s t a1 + a0 + l,8,sta0254
постоянно,~по*сто+я+нн+о,~ p a2 * s t a1 + j a0 + n n + a4,~ p a1 * s t a1 + i1 a0 + n + a4,15,cta0809
постоянному,~по*сто+я+нн/ому,~ p a2 * s t a1 + j a0 + n / a4 m u4,~ p y1 * s t a1 + j a0 + n / e4 m u4,3,"cta0877,kta0877"
постоянстве,~по*сто+янств/е,~ p a2 * s t a1 + j a0 n s t v' / i4,~ p y1 * s t a1 + j a0 n s t v' /,3,ata0638
построен,~по*стро+ен,~ p a1 * s t r o0 + j i4 n,~ p a1 * s t r o0 + i4 n,3,kta0742
постукивает,~по*стук+ива/ет,~ p a1 * s t u0 k' + i4 v a4 + - i4 t,~ p a1 * s t u0 k' + i4 v y4 + t,8,mtb0363
поступает,~по*ступ+а/ет,~ p a2 * s t u1 p + a0 / j i4 t,~ p a2 * s t u1 p + a0 / e4 d,18,mta0292
поступал,~по*ступ+а+л,~ p a2 * s t u1 p + a0 + l,~ p a2 * s t u1 p + a0 + l,8,"kta0493,ata0493"
поступать,~по*ступ+а/ть,~ p a2 * s t u1 p + a0 / t',~ p o1 * s t u1 p + a0 / t',9,"ata0507,ata0810"
поступке,~по*ступ+к/е,~ p a1 * s t u0 p + k' / i4,~ p a1 * s t u0 p + k' / i4,3,"cta0987,kta0987,ata0987"
постучал,~по*стуч+а+л,~ p a2 * s t u1 ch + a0 + l,~ p a2 * s t u1 ch + a0 + l,3,kta0554
постучали,~по*стуч+а+л/и,~ p a2 * s t u1 ch + a0 + l' / i4,~ p a2 * s t u1 ch + a0 + l' / i4,8,mtb0332
постучать,~по*стуч+а/ть,~ p a2 * s t u1 ch + a0 / t',~ p a2 * s t u1 ch + a0 / t',11,ktc0229
посуда,~по*суд/а,~ p a1 * s u0 d / a4,~ p a1 * s u0 d / a4,30,"ctb0183,ctb0183,ctb0266,ctb1444,gtb0183,gtb0183,gtb0266,ktb1444,ktb1444,ktb0183,ktb0183,ktb0266,otb0183,otb0183,otb0266,stb0183,stb0183,stb0266,utb0183,atb0183,atb0183,atb0266,atb1444,atb1444,mtb0183,mtb0183,mtb0266"
посуде,*посуд/е,* p a1 s u0 d' / i4,* p a1 s u0 d' / i4,3,"cta0697,kta0697,ata0697"
посудой,*посуд/ой,* p a1 s u0 d / a4 j,* p a1 s u0 d / a4 j,16,mta0172
посуды,~по*суд/ы,~ p a1 * s u0 d / y4,~ p a1 * s u0 d / y4,3,"ctb1565,ktb1565,atb1565"
посылает,~по*сыл+а/ет,~ p a2 * s y1 l + a0 / j i4 t,~ p a2 * s e1 l + a0 / e4 t,3,cta0988
посылают,~по*сыл+а/ют,~ p a2 * s y1 l + a0 / j u4 t,~ p o1 * s u1 l + a0 / o4 t,3,ata0765
посыпались,~по*сып+а+л/и^сь,~ p a1 * s y0 p + a4 + l' + i4 ^ z',~ p a1 * s y0 p + a4 + l' + i4 ^ z',3,atb0900
пот,*пот,* p o0 t,* p o0 t,8,"cta0340,gta0340,kta0340,ota0340,sta0340,uta0340,ata0340,mta0340"
потверже,~по*тверж+е,~ p a1 * t v' o0 r zh + y4,~ p a1 * t v' o0 r zh + y4,3,"ktb1988,atb1988"
потеряем,~по*тер+я/ем,~ p a2 * t' i1 r' + a0 / j i4 m,~ p y1 * t' e1 r' + a0 / e4 m,8,atb0531
потеряно,~по*тер+я+н+о,~ p a1 * t' e0 r' + i4 + n + a4,~ p a1 * t' e0 r' + + n + a4,8,ata0189
потешали,~по*теш+а+л/и,~ p a2 * t' i1 sh + a0 + l' / i4,~ p y1 * t' i1 sh + a0 + l' / e4,3,"kta0897,ata0897"
потихоньку,~по*тих+оньк+у,~ p a2 * t' i1 h + o0 n' k + u4,~ p y1 * t' i1 h + o0 n' k + u4,3,"cta0899,kta0899,ata0899"
потише,~по*тиш+е,~ p a1 * t' i0 sh + y4,~ p a1 * t' i0 sh + y4,3,"ktb0895,atb0895"
потом,*потом,* p a1 t o0 m,* b a1 t o0 m,312,"stb0736,utb0736,utc0730,utc1051,atb0775,atb1671"
потом,*потом,* p o0 t a4 m,* p a1 t o0 m,312,kta0270
поторапливал,~по*торапл+ива+л,~ p a2 * t a1 r a0 p l' + i4 v a4 + l,~ p o1 * t a1 r a0 p l' + i4 v a4 + l,3,atb2046
потребность,~по*треб+н+ость,~ p a1 * t r' e0 b + n + a4 s' t',~ p a1 * t r' e0 b + n + e4 s',7,sta0012
потребуется,~по*треб+у/ет^ся,~ p a1 * t r' e0 b + u4 / - i4 c ^ - a4,~ p a1 * t r' e0 b + u4 / i4 c ^ y4,8,ota0027
потрогал,~по*трог+а+л,~ p a1 * t r o0 g + a4 + l,~ p a1 * t r o0 g + a4 + l,3,ata0677
потрясая,~по*тряс+а+я,~ p a2 * t r' i1 s + a0 + j a4,~ p a2 * t r' i1 s + a0 + e4,3,ctb1595
похвалить,~по*хвал+и/ть,~ p a2 * h v a1 l' + i0 / t',~ p a2 * h v a1 l' + i0 / t',3,atb1360
похвастался,~по*хваст+а+л^ся,~ p a1 * h v a0 s t + a4 + l ^ s' a4,~ p a1 * h v a0 s t + a4 + l ^ s' a4,3,atb1189
похвастаться,~по*хваст+а/ть^ся,~ p a1 * h v a0 s t + a4 ^ c a4,~ p a1 * h v a0 s t + a4 ^ c a4,3,"ktb1396,atb1396"
поход,~по*ход,~ p a1 * h o0 t,~ p a1 * h o0 t,24,"ctb0025,ctb0047,ctb0070,gtb0025,gtb0047,gtb0070,ktb0025,ktb0047,ktb0070,otb0025,otb0047,otb0070,stb0025,stb0047,stb0070,utb0025,utb0047,utb0070,atb0025,atb0047,atb0070,mtb0025,mtb0047,mtb0070"
походить,~по*ход+и/ть,~ p a2 * h a1 d' + i0 / t',~ p * h a1 d' + i0 / t',8,gtb0639
похож,~по*хож,~ p a1 * h o0 sh,~ p a1 * h o0 sh,25,"ctb0029,ctb0594,ctb0978,ctc1509,ctc1510,gtb0029,gtb0594,ktb0978,ktb0029,ktb0594,ktc1509,ktc1510,otb0029,otb0594,stb0029,stb0594,utb0029,utb0594,utc1509,utc1510,atb0029,atb0594,atb0978,mtb0029,mtb0594"
похоже,~по*хож+е,~ p a1 * h o0 zh + y4,~ p a1 * h o0 sh + y4,21,otd0200
похожий,~по*хож/ий,~ p a1 * h o0 zh / y4 j,~ p a1 * h o0 zh / y4,3,"cta0741,kta0741,ata0741"
похожим,~по*хож/им,~ p a1 * h o0 zh / y4 m,~ p a1 * h o0 zh / y4 m,3,"ctb0981,ktb0981,atb0981"
похудела,~по*худ+е+л/а,~ p a2 * h u1 d' + e0 + l / a4,~ p a2 * h u1 d' + e0 + l / a4,8,"ata0386,mta0386"
похуже,~по*хуж+е,~ p a1 * h u0 zh + y4,~ p a1 * h u0 zh + y4,3,"cta1042,kta1042,ata1042"
поцеловал,~по*цел+ова+л,~ p a2 * c y1 l + a1 v a0 + l,~ p o1 * c y1 l + a1 v a0 + l,3,atb2057
почаще,~по*чащ+е,~ p a1 * ch a0 sc + i4,~ p a1 * ch a0 sc + e4,3,ctb1748
почему-то,*почему-+то,* p a2 ch i1 m u0 + t a4,* p a2 ch i1 m u0 + t a4,64,"ctb1893,ata0635,atb0896"
почерком,~по*черк/ом,~ p o0 * ch i4 r k / a4 m,~ p o0 * ch i4 r k / a4 m,6,"cta0627,ctb1943,kta0627,atb1943"
почерневших,~по*черн+е+вш/их,~ p a2 * ch i1 r n' + e0 + f sh / y4 h,~ p a2 * ch i1 r n' + e0 + f sh / y4 h,3,ata0739
почерней,~по*черн/ей,~ p a2 * ch i1 r n' / e0 j,~ p y1 * ch e1 r n' / e0 j,3,"cta1042,kta1042"
почистил,~по*чист+и+л,~ p a1 * ch i0 s' t' + i4 + l,~ p a1 * ch i0 s' t' + i4 + l,8,"cta0131,kta0131,ota0131,sta0131,uta0131,ata0131,mta0131"
почтением,~по*чт+ени/ем,~ p a1 * ch t' + e0 n' i4 / j i4 m,~ p a1 * ch t' + e0 n' e4 / e4 m,3,ata0858
почувствовал,~по*чувств+ова+л,~ p a1 * ch u0 s t v + a4 v a4 + l,~ p a1 * ch u0 s t + a4 + l,25,"gta0311,mta0311"
почувствовала,~по*чувств+ова+л/а,~ p a1 * ch u0 s t v + a4 v a4 + l / a4,~ p a1 * ch u0 s t + u4 o4 o4 + l / a4,6,ata0004
почувствовать,~по*чу+в+ств+ов+а/ть,~ p a1 * ch u0 + s t v + a4 v + a4 / t',~ p a1 * ch u0 + s t o4 + o4 v + y4 / t',2,ctb1225
почуяв,~по*чу+я+в,~ p a1 * ch u0 + j i4 + f,~ p a1 * ch u0 + e4 + f,3,"cta1026,kta1026"
почуял,~по*чу+я+л,~ p a1 * ch u0 + j i4 + l,~ p a1 * ch u0 + j o4 + l,3,ata0859
пошел,~по*ше+л,~ p a1 * sh o0 + l,~ p a1 * sh + l,73,ota0488
пошло,~по*ш+л/о,~ p a1 * sh + l / o0,~ p o0 * sh + l / a4,3,atb2107
пошло,~по*ш+л/о,~ p o0 * sh + l / a4,~ p o0 * sh + l / a4,3,ktb2107
пошутил,~по*шут+и+л,~ p a2 * sh u1 t' + i0 + l,~ b a2 * sh u1 t' + i0 + l,21,utc0296
пошутила,~по*шут+и+л/а,~ p a2 * sh u1 t' + i0 + l / a4,~ p a2 * sh u1 t' + i0 + l / a4,8,"ktb0272,mtb0272"
пошутили,~по*шут+и+л/и,~ p a2 * sh u1 t' + i0 + l' / i4,~ p a2 * sh u1 t' + i0 + l' / i4,9,"ktc0276,utc0276"
поэтому,*поэтому,* p a1 e0 t a4 m u4,* p a1 e0 t a4 m o4,108,"gte0317,stb0287"
поют,*по/ют,* p a1 j / u0 t,* p a1 i1 / u0 t,11,mtb0098
появились,~по*яв+и+л/и^сь,~ p a2 * - i1 v' + i0 + l' / i4 ^ s',~ p y1 * i1 v' + i0 + l' / i4 ^ s',4,ata0852
появилось,~по*яв+и+л/о^сь,~ p a2 * j i1 v' + i0 + l / a4 ^ s',~ p a2 * i1 v' + i0 + l / a4 ^ s',8,mtb0454
появиться,~по*яв+и/ть^ся,~ p a2 * - i1 v' + i0 / c ^ a4,~ p y1 * i1 v' + i0 / c ^ a4,8,ota0034
появляется,~по*явл+я/ет^ся,~ p a2 * - i1 v l' + a0 / - i4 c ^ - a4,~ p y1 * i1 v l' + e0 / i4 c ^ y4,48,ota0034
появлялась,~по*явл+я+л/а^сь,~ p a2 * - i1 v l' + a0 + l / a4 ^ s',~ p y1 * i1 v l' + a0 + l / a4 ^ s',8,mta0181
появлялись,~по*явл+я+л/и^сь,~ p a2 * j i1 v l' + a0 + l' / i4 ^ s',~ p a2 * i1 v l' + a0 + l' / i4 ^ s',3,kta0778
появляются,~по*явл+я/ют^ся,~ p a2 * j i1 v l' + a0 / j u4 ^ c a4,~ p a2 * i1 v l' + a0 / u4 ^ c a4,29,stb0006
пояс,*пояс,* p o0 j i4 s,* p o0 e4 s,3,"kta0761,ata0761"
поясе,*пояс/е,* p o0 - i4 s' / i4,* p o0 e4 s' / i4,15,mta0186
пояснила,~по*ясн+и+л/а,~ p a2 * j i1 s' n' + i0 + l / a4,~ p y1 * i1 s' n' + i0 + l / a4,3,ktb1268
прав,*прав,* p r a0 f,* p r a0 f,29,"cta0258,cta1103,ctb0251,ctb1771,ctb1815,ctc0069,gta0258,gtb0251,gte0361,kta1103,ktb1771,ktb1815,kta0258,ktb0251,ktc0069,ota0258,otb0251,sta0258,stb0251,ste0361,uta0258,utb0251,utc0069,ata0258,atb0251,ata1103,atb1771,atb1815,mta0258"
права,*прав/а,* p r a0 v / a4,* p r a0 v / a4,17,"cta1134,ctb0543,ctb0846,ctb1045,gtb0543,ktb0846,ktb1045,ktb0543,stb0543,utb0543,atb0543,atd0072,atb0846,atb1045,mtb0543"
права,*прав/а,* p r a1 v / a0,* p r a0 v / a4,17,otb0543
правда,*прав+д/а,* p r a0 v + d / a4,* b r a0 v + d / y4,104,mta0034
правде,*правд/е,* p r a0 v d' / i4,* p r a0 v d' / e4,8,atb0056
правду,*правд/у,* p r a0 v d / u4,* p r a0 v d / u4,3,"ctb1130,ktb1130,atb1130"
правило,*прав+и+л/о,* p r a0 v' + i4 + l / a4,* p r a0 + i4 + l / e4,12,mtb0311
правильно,*прав+иль+н+о,* p r a0 v' + i4 l' + n / a4,* p r a0 + e4 l' + n / a4,33,"utb0693,utc0463"
право,*прав/о,* p r a0 v / a4,* p r a0 v / a4,27,"cta0164,cta0280,cta0867,ctc0802,gta0280,kta0867,kta0164,kta0280,ktc0802,ota0164,ota0280,sta0164,sta0280,uta0164,uta0280,utc0744,utc0802,ata0164,ata0280,atd0205,ata0867,mta0164,mta0280"
правой,*прав/ой,* p r a0 v / a4 j,* p r a0 v / e4,18,"gta0164,kta0164,ata0164,mta0145"
правый,*прав/ый,* p r a0 v / y4 j,* p r a0 v / y4,3,atb1709
праздник,*праздник,* p r a0 z' n' i4 k,* p r a0 z' n' i4 k,6,"ctb1531,ctb1581,ktb1531,ktb1581,atb1531,atb1581"
праздникам,*праздник/ам,* p r a0 z' n' i4 k / a4 m,* p r a0 s n' i4 k / a4 m,3,atb1371
праздничным,*празднич+н/ым,* p r a0 z' n' i4 ch + n / y4 m,* p r a0 z' n' i4 ch + n / y4 m,3,"ctb1636,ktb1636,atb1636"
превратилась,~пре*врат+и+л/а^сь,~ p r' i1 * v r a1 t' + i0 + l / a4 ^ s',~ p r' e1 * v r a1 t' + i0 + l / e4 ^ s',8,sta0010
превышают,~пре*выш+а/ют,~ p r' i1 * v y1 sh + a0 / j u4 t,~ p r' i1 * v y1 sh + a0 / u4 c,3,ktb1842
преграда,~пре*град/а,~ p r' i1 * g r a0 d / a4,~ p r' e1 * g r a0 d / e4,8,gta0016
предал,~пре*да+л,~ p r' e0 * d a4 + l,~ p r' e0 * d a4 + l,3,"kta0826,ata0826"
преданность,~пре*да+нн+ость,~ p r' e0 * d a4 + n + a4 s' t',~ p r' e0 * d a4 + n + a4 s' t',3,ata1048
предвидеть,~пред*вид+е/ть,~ p r' i1 d * v' i0 d' + i4 / t',~ p r' i1 d * v' i0 d' + i4 / t',3,"kta1050,ata1050"
предел,~пре*дел,~ p r' i1 * d' e0 l,~ p r' i1 * d' e0 l,8,"cta0333,gta0333,ota0333,sta0333,uta0333,ata0333,mta0333"
предлагает,~пред*лаг+а/ет,~ p r' i1 d * l a1 g + a0 / - i4 t,~ p r' e1 d * l a1 g + e0 / e4 t,16,mtb0190
предлагал,~пред*лаг+а+л,~ p r' i1 d * l a1 g + a0 + l,~ p r' d * l a1 g + a0 + l,14,gta0096
предлагали,~пред*лаг+а+л/и,~ p r' i1 d * l a1 g + a0 + l' / i4,~ p r' e1 d * l a1 g + a0 + l' / e4,3,ctb0986
предлагаю,~пред*лаг+а/ю,~ p r' i1 d * l a1 g + a0 / j u4,~ p r' e1 d * l a1 g + a0 / j u4,9,ctc0980
предлогом,~пред*лог/ом,~ p r' i1 d * l o0 g / a4 m,~ p r' e1 d * l o0 g / a4 m,8,mta0097
предложат,~пред*лож/ат,~ p r' i1 d * l o0 zh + a4 / t,~ p r' e1 d * l o0 zh + y4 / t,8,"gtb0312,stb0312"
предложении,~пред*лож+ени/и,~ p r' i1 d * l a1 zh + e0 n' i4 / i4,~ p r' e1 d * l a1 zh + e0 n' i4 / i4,8,uta0234
предложениями,~пред*лож+ени/ями,~ p r' i1 d * l a1 zh + e0 n' i4 j / i4 m' i4,~ p r' e1 d * l a1 zh + e0 n' i4 / i4 m' i4,7,ctb1473
предложила,~пред*лож+и+л/а,~ p r' i1 d * l a1 zh + y0 + l / a4,~ p r' d * l a1 zh + y0 + l / y4,8,ota0338
предметом,*предмет/ом,* p r' i1 d m' e0 t / a4 m,* p r' d m' e0 t / a4 m,8,mta0095
предотвратить,~пред~от*врат+и/ть,~ p r' i1 d ~ a2 t * v r a1 t' + i0 / t',~ p r' d ~ y1 t * v r a1 t' + i0 / t',8,"gtb0757,mtb0757"
предполагал,~пред~по*лаг+а+л,~ p r' i1 t ~ p a2 * l a1 g + a0 + l,~ p r' i1 t ~ p a2 * l a1 g + a0 + l,1,cta1141
предполагаю,~пред~по*лаг+а/ю,~ p r' i1 t ~ p a2 * l a1 g + a0 / j u4,~ p r' i1 t ~ p a2 * l a1 g + a0 / u4,3,"ctb1910,atb1910"
предположение,~пред~по*лож+ени/е,~ p r' i1 t ~ p a2 * l a1 zh + e0 n' i4 j / i4,~ p r' i1 t ~ p o1 * l a1 zh + e0 n' e4 / e4,3,ata0870
предпочитают,~пред~по*чит+а/ют,~ p r' i1 t ~ p a2 * ch i1 t + a0 / j u4 t,~ p r' i1 t ~ p y1 * ch i1 t + a0 / u4 t,5,"otd0224,atd0224,atb1919"
представить,~пред*ста+в+и/ть,~ p r' i1 * c t a0 + v' + i4 / t',~ p r' i1 * c t a0 + v' + i4 / t',6,"ctb1800,atb1800"
представляете,~пред*ставл+я/ете,~ p r' i1 * c t a1 v l' + a0 / - i4 t' i4,~ p r' i1 * c t a1 v l' + a0 / e4 t' e4,9,gta0452
представлял,~пред*ставл+я+л,~ p r' i1 * c t a1 v l' + a0 + l,~ p r' i1 * c t a1 v l' + a0 + l,3,"ctb1777,ktb1777,atb1777"
представляю,~пред*ставл+я/ю,~ p r' i1 * c t a1 v l' + a0 / j u4,~ p r' * c t a1 v l' + a0 / u4,17,utc0432
представь,~пред*ставь,~ p r' i1 * c t a0 f',~ p r' e1 * c t a0 f',8,ctc0934
предупреждал,~пред~у*прежд+а+л,~ p r' i1 d ~ u1 * p r' i1 zh d + a0 + l,~ p r' d ~ u1 * p r' i1 zh d + a0 + l,8,gtb0375
прежде,*прежд+е,* p r' e0 zh d' + i4,* p r' e0 sh t' + e4,21,ata0849
прежнем,*прежн/ем,* p r' e0 zh n' / i4 m,* p r' e0 zh n' / e4 m,3,cta0999
прежняя,*прежн/яя,* p r' e0 zh n' / i4 j a4,* p r' e0 sh n' / e4 a4,6,ata0910
презирала,~пре*зир+а+л/а,~ p r' i1 * z' i1 r + a0 + l / a4,~ p r' i1 * z' e1 r + a0 + l / a4,3,atb1100
презирать,~пре*зир+а/ть,~ p r' i1 * z' i1 r + a0 + t',~ p r' i1 * z' e1 r + a0 + t',3,"cta1102,kta1102"
презрение,~пре*зр+е+ни/е,~ p r' i1 * z r' + e0 + n' i4 / i4,~ p r' i1 * z r' + e0 + n' e4 / e4,4,ata1101
презрения,~пре*зр+е+ни/я,~ p r' i1 * z r' + e0 + n' i4 j / a4,~ p r' i1 * z r' + e0 + n' e4 / e4,3,"cta1106,kta1106,ata1106"
прекрасна,~пре*крас+н/а,~ p r' i1 * k r a0 s + n / a4,~ p r' e1 * k r a0 s + n / e4,3,cta0952
прекрасная,~пре*крас+н/ая,~ p r' i1 * k r a0 s + n / a4 j a4,~ p r' e1 * k r a0 s + n / e4 i4,9,cta1053
прекрасно,~пре*крас+н+о,~ p r' i1 * k r a0 s + n + a4,~ p r i1 * k r a0 s + n + a4,36,utb0694
прекрасного,~пре*крас+н/ого,~ p r' i1 * k r a0 s + n / a4 v a4,~ p r' i1 * k r a0 s + n / a4 v a4,3,"cta0774,kta0774,ata0774"
прекрасное,~пре*крас+н/ое,~ p r' i1 * k r a0 s + n / a4 j i4,~ p r' i1 * k r a0 s + n / y4 e4,1,cta1118
прекрасный,~пре*крас+н/ый,~ p r' i1 * k r a0 s + n / y4 j,~ p r' i1 * k r a0 s + n / y4,8,"ctb0598,ktb0598,otb0598,stb0598,utb0598"
